Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BT1","Battery_Cell","BatteryClip-MY-927-02",136.980000,-90.000000,90.000000,bottom
"C20","100n","C_0402_1005Metric",157.630000,-93.080000,180.000000,bottom
"C21","4.7u","C_0402_1005Metric",160.620000,-96.030000,180.000000,bottom
"C22","2.2u","C_0402_1005Metric",151.590000,-89.670000,180.000000,bottom
"C23","2.2u","C_0402_1005Metric",151.590000,-90.620000,0.000000,bottom
"C24","100n","C_0402_1005Metric",158.670000,-85.530000,-90.000000,bottom
"C25","100n","C_0402_1005Metric",157.630000,-92.130000,180.000000,bottom
"C26","100n","C_0402_1005Metric",153.390000,-90.540000,90.000000,bottom
"C27","100n","C_0402_1005Metric",154.320000,-90.540000,90.000000,bottom
"C28","100n","C_0402_1005Metric",155.260000,-90.540000,90.000000,bottom
"D4","BAT54C","SOT-23",157.652500,-97.080000,0.000000,bottom
"J1","B2B-40P-P0.5 Connector","B2B-40P-P0.5",147.500000,-82.000000,0.000000,bottom
"J2","B2B-40P-P0.5 Connector","B2B-40P-P0.5",147.500000,-98.000000,180.000000,bottom
