Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BZ1","FUET-4020","FUET-4020",136.940000,-97.477500,90.000000,top
"C1","100n","C_0402_1005Metric",140.420000,-90.690000,-90.000000,top
"C2","100n","C_0402_1005Metric",145.890000,-95.092500,180.000000,top
"C3","100n","C_0402_1005Metric",144.060000,-95.092500,0.000000,top
"C4","100n","C_0402_1005Metric",137.330000,-92.730000,-90.000000,top
"C5","100n","C_0402_1005Metric",134.000000,-90.505000,0.000000,top
"C6","1u","C_0402_1005Metric",156.330000,-81.490000,-90.000000,top
"C7","1u","C_0402_1005Metric",158.345000,-85.050000,180.000000,top
"C8","1u","C_0402_1005Metric",159.000000,-90.200000,-90.000000,top
"C9","100n","C_0402_1005Metric",137.340000,-87.265089,-90.000000,top
"C10","100n","C_0402_1005Metric",134.000000,-85.055089,0.000000,top
"C11","100n","C_0402_1005Metric",154.120000,-98.200000,90.000000,top
"C12","100n","C_0402_1005Metric",163.990000,-91.760000,90.000000,top
"C13","15p","C_0402_1005Metric",159.000000,-92.300000,90.000000,top
"C14","100n","C_0402_1005Metric",164.000000,-94.350000,90.000000,top
"C15","15p","C_0402_1005Metric",159.020000,-94.350000,-90.000000,top
"C16","100n","C_0402_1005Metric",160.180000,-85.050000,0.000000,top
"C17","1u","C_0402_1005Metric",138.750000,-81.522500,-90.000000,top
"C18","1u","C_0402_1005Metric",138.700000,-83.680000,90.000000,top
"C19","100n","C_0402_1005Metric",137.010000,-85.050000,180.000000,top
"C32","100n","C_0402_1005Metric",159.000000,-87.380000,-90.000000,top
"C33","1u","C_0402_1005Metric",159.950000,-87.380000,-90.000000,top
"C34","1u","C_0402_1005Metric",161.850000,-87.380000,90.000000,top
"D1","Blue (0805)","LED_0805_2012Metric",163.460000,-86.500000,90.000000,top
"D2","Green (0805)","LED_0805_2012Metric",140.280000,-83.277500,-90.000000,top
"D3","1N5819WS","D_SOD-323",139.920000,-97.880000,-90.000000,top
"FB1","100mΩ 600Ω @100MHz","R_0402_1005Metric",160.900000,-87.400000,-90.000000,top
"Q1","AO3400A","SOT-23",142.810000,-97.333274,0.000000,top
"R1","1k","R_0402_1005Metric",163.500000,-88.710000,180.000000,top
"R2","1k","R_0402_1005Metric",140.290000,-81.080000,0.000000,top
"R3","100","R_0402_1005Metric",140.290000,-94.710000,90.000000,top
"R4","100k","R_0402_1005Metric",141.240000,-94.710000,90.000000,top
"R5","3.3k","R_0402_1005Metric",159.460000,-88.780000,180.000000,top
"R6","10k","R_0402_1005Metric",133.980000,-89.485089,0.000000,top
"R7","120","R_0603_1608Metric",132.110000,-87.272589,90.000000,top
"R8","10k","R_0402_1005Metric",133.980000,-94.955000,0.000000,top
"R9","10k","R_0402_1005Metric",154.400000,-96.500000,0.000000,top
"R10","10k","R_0402_1005Metric",155.150000,-98.200000,90.000000,top
"R11","120","R_0603_1608Metric",132.110000,-92.742500,90.000000,top
"R12","10k","R_0402_1005Metric",148.050000,-90.580000,-90.000000,top
"R13","4.7k","R_0402_1005Metric",149.120000,-84.070000,180.000000,top
"R14","4.7k","R_0402_1005Metric",146.730000,-97.520000,180.000000,top
"R15","4.7k","R_0402_1005Metric",149.820000,-85.040000,0.000000,top
"R16","4.7k","R_0402_1005Metric",146.730000,-98.480000,0.000000,top
"SW1(B3U-1000)1","SW_Push","SW_SPST_B3U-1000P",151.290000,-97.750000,180.000000,top
"SW2(B3U-1000)1","SW_Push","SW_SPST_B3U-1000P",158.000000,-97.770000,0.000000,top
"TH1","10k","R_0402_1005Metric",155.788949,-85.060000,180.000000,top
"U1","STM32H743VIHx","TFBGA-100_8x8mm_Layout10x10_P0.8mm",153.520000,-90.540000,180.000000,top
"U2","W25Q128JVP","WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm",144.230000,-88.305000,180.000000,top
"U3","BMI270","XDCR_BMI270",144.900000,-93.130000,0.000000,top
"U5","TCAN1051HVDRB","TCAN1051VDRB",134.870000,-87.260089,180.000000,top
"U7","TCAN1051HVDRB","TCAN1051VDRB",134.870000,-92.730000,180.000000,top
"U8","TLV75533PDBV","SOT-23-5",158.490000,-82.532500,-90.000000,top
"U9","TLV75533PDBV","SOT-23-5",136.537500,-82.537500,-90.000000,top
"Y1","YXC_OT2EL4C4JI-111OLP-8M","Crystal_SMD_3225-4Pin_3.2x2.5mm",161.500000,-90.970000,180.000000,top
"Y2","SG-3030CM/X1B0002110001","Oscillator_SMD_SeikoEpson_SG3030CM",161.505000,-94.010000,180.000000,top
